video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Jof9GoXppis&pp=ygUGbGF5b2Zm,/@TechnicalSuneja,Technical Suneja,Job Market in 2024 | Recession Layoff & Hiring in 2024 | Best Time to Switch Job in 2024 ?,37K,1 day,"In this video, we have our special guest Shruti Gaddam who has 10+ years of experience in the Corporate Sector. Shruti's main ...",2024-01-29 07:49:34.597493
/watch?v=JmD9rohDnjQ&pp=ygUGbGF5b2Zm,/@CNBC,CNBC,Where Thousands Of Tech Workers Went After Mass Layoffs,910K,5 months,Tech companies shed more than 386000 jobs last year and in the first half of this year. And that number is climbing. But while ...,2024-01-29 07:49:34.602426
/shorts/uoBDerAykTA,/@SimonSinek,Simon Sinek,Mass Layoffs = Trust Crisis!,34K,11 months,"From an Instagram Q&A, Simon answers the question ""Do you see a way to fix the trust crisis between employees and employers ...",2024-01-29 07:49:34.606314
/watch?v=tFIXr-ewsxA&pp=ygUGbGF5b2Zm,/@channelnewsasia,CNA,Company layoffs - how far can Singapore unions help workers? | Heart of the Matter podcast,8.7K,2 days,"E-commerce giant Lazada's retrenchment exercise resulted in criticism of how it was handled, including its lack of consultation ...",2024-01-29 07:49:34.610985
/watch?v=H3xLV8OinFM&pp=ygUGbGF5b2Zm,/@WION,WION,CEO Sundar Pichai addresses layoffs at Google's all-hands meeting | World Business Watch,7.1K,1 month,"In a recent all-hands meeting, google and alphabet ceo sundar pichai faced tough questions as he addressed the company's ...",2024-01-29 07:49:45.139339
/watch?v=yb3tYJq4c24&pp=ygUGbGF5b2Zm,/@Tasteless_TV,TastelessTV,Massive Layoff Hits Activision-Blizzard,6.9K,2 days,#blizzard #gaming #games #twitch.,2024-01-29 07:49:45.140771
/watch?v=9F86jG3rzVc&pp=ygUGbGF5b2Zm,/@KTLA5,KTLA 5,"Consumer Confidential: Workplaces going quiet, woman posts layoff to TikTok",24K,11 days,"KTLA 5's David Lazarus has the latest consumer news and headlines. Jan. 17, 2024. KTLA 5 News - Keeping Southern ...",2024-01-29 07:49:45.142109
/watch?v=7lhGVsfhFZw&pp=ygUGbGF5b2Zm,/@HoegLaw,Hoeg Law,LAID OFF | Microsoft/Xbox Fires Almost 2000 (VL776),5K,Streamed 2 days,"With Activision Blizzard King now formally a part of tech giant Microsoft, changes are definitely happening. But what is happening ...",2024-01-29 07:49:45.144048
/shorts/23dOd139BY0,/@KING5Seattle,KING 5 Seattle,Why so many tech layoffs? 5 key reasons. #technology #tech #fyp #jakewhittenberg,14K,1 year,... mindlessly copy what each other is doing no matter the reason real people real families are paying the price of these layoffs.,2024-01-29 07:49:45.145406
/watch?v=QNnVWIDkg9M&pp=ygUGbGF5b2Zm,/@11Alive,11Alive,Several companies announce layoffs,5.5K,13 days,Citibank says it will lay off 20000 employees over the next two years. This comes after a $1.8 billion net loss for the fourth quarter ...,2024-01-29 07:49:45.146802
